,ITT_0_10,ITT_10_20,ITT_20_30,ITT_30_40,ITT_40_50,ITT_50_60,ITT_60_70,IWS_0_10,IWS_10_20,IWS_20_30,IWS_30_40,IWS_40_50,IWS_50_60,IWS_60_70,IWS_70_80,IWS_80_90,IWS_90_100,STT_0_10,STT_10_20,STT_20_30,STT_30_40,STT_40_50,STT_50_60,STT_60_70,STT_70_80,STT_80_90,SWS_0_10,SWS_10_20,SWS_20_30,SWS_30_40,SWS_40_50,SWS_50_60,SWS_60_70,TTT_0_10,TTT_10_20,TTT_20_30,TTT_30_40,TTT_40_50,TTT_50_60,TTT_60_70,TTT_70_80,TTT_80_90,TWS_0_10,TWS_10_20,TWS_20_30,TWS_30_40,TWS_40_50,TWS_50_60,TWS_60_70,TWS_70_80,TWS_80_90
6472eb8b1e09f892aca2f23182962903,481,1542,196,218,34,40,226,435,129,48,0,70,43,24,24,0,125,178,141,143,93,65,29,67,15,32,398,691,88,76,0,48,0,447,550,806,771,140,72,48,112,70,130,88,0,0,0,0,0,3,0
674d3fca8b60d684ea44b52ad3fd4c73,0,3,0,0,252,76,36,0,0,0,0,0,0,0,0,0,0,0,49,18,21,41,303,346,1871,3452,0,0,0,36,63,93,90,0,0,0,0,128,1418,289,128,388,0,0,0,8,0,0,0,0,0
6592738390b236d9028cfc8dab2e7dd5,0,0,0,0,0,0,0,0,1377,1964,985,72,106,33,0,0,158,0,0,0,0,0,0,0,106,7,0,0,0,0,41,30,59,0,0,0,0,0,0,0,0,0,0,578,773,958,580,81,0,67,36
0bfc1db312d70c87844fd780ac80cf93,0,0,21,59,1305,4434,363,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,42,36,0,0,0,0,16,89,49,0,0,0,0,0,0,155,101,0,0,0
c77123d85d69a44286a9ea97986e83f5,0,0,0,164,1189,2306,1355,0,0,0,0,0,0,0,19,75,84,0,0,0,0,0,106,30,38,56,0,0,0,0,45,36,26,0,0,0,0,191,217,248,176,118,0,0,0,0,0,212,0,0,0
3b97e258e9c87893ea69d7020013260a,0,23,3304,1567,68,84,332,67,0,0,0,0,0,3,0,0,3,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,18,569,1103,36,24,7,104,22,0,0,0,0,0,0,0,0,0
21d750a7e947264dfe453a26c1ae829c,0,0,15,10,613,316,31,0,4,72,388,6,57,31,20,10,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,880,2476,2444,102,104,281,147
1d6d89e5ae84cb6c7ff966f311159bf7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,117,178,27,38,0,0,0,0,0,111,42,8622,0,5,155,0,0,7,22,0,0,0,0,0,96,0,0,0,0,0,0,5,0
cf323d35d80216d199463c57acb17dee,0,0,229,365,254,214,49,0,231,335,320,98,73,43,28,0,66,0,0,0,0,0,352,219,361,134,0,0,0,0,578,309,394,0,0,0,0,354,192,122,153,129,0,312,481,584,351,268,411,131,105
3828d792c5a6438acf25783a43ae8d98,44,46,426,441,54,33,67,468,641,453,500,644,558,271,166,74,373,0,31,0,0,85,48,114,0,0,0,0,40,106,0,0,0,0,29,251,317,330,134,68,125,67,235,193,187,100,245,43,0,19,0
76601b6d7476b7f4d0c4a0708505a15b,0,838,229,161,13,11,30,919,1710,863,462,270,270,75,51,42,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,503,504,17,7,11,56,24,72,104,9,9,0,0,0,0,0
eb6556a76f5c1a57c391fcbd13dd1bc6,0,20,1654,158,31,32,143,1747,580,654,249,444,221,80,54,44,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,206,75,18,0,0,21,0,340,45,0,0,0,3,0,4,0
ddea10d91e0d352781eb52a8b546af99,0,0,692,1540,241,216,70,26,0,33,47,116,205,209,304,59,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,58,0,0,11,30,1751,624,204,408,303,0,48,143,76,105,44,0,0,0
aaea04ba5a9914fabc075ea0993a5661,0,0,0,0,0,0,0,4,499,590,724,396,670,528,407,78,265,0,0,0,0,0,0,0,0,0,0,0,0,0,32,19,25,0,0,0,0,0,0,0,0,0,22,827,815,783,885,146,41,39,22
e2a35867731fb073463f823bb3f063d2,0,1,497,546,562,582,298,0,0,72,51,67,54,66,45,43,41,68,242,160,1009,177,107,83,91,18,0,0,0,0,71,29,23,0,20,51,156,263,619,493,309,118,13,49,79,100,188,218,23,0,20
f188a70a84d8fc0c23c92f6ca6b7ebbc,51,159,504,67,60,34,61,586,326,518,676,687,522,356,274,83,324,0,0,0,11,65,13,65,4,0,88,0,26,0,7,6,15,26,41,51,88,49,36,93,41,0,432,181,88,263,78,700,10,63,16
599be869b75618ce47a11a2e6a650c97,0,0,0,0,9,22,48,0,0,6,0,0,0,0,4,0,19,0,0,0,0,52,95,231,562,366,0,0,0,43,469,1082,2055,0,0,0,0,0,93,215,455,2322,0,0,0,0,0,54,0,60,73
276a23ba9607f61d5909eb6cd78ef2b2,0,0,292,193,179,0,26,5,220,300,379,324,328,710,417,110,213,0,0,0,0,40,21,21,14,0,0,0,0,0,0,11,27,0,0,0,11,233,29,15,85,59,16,242,384,586,1273,449,322,132,72
ed32c53f9d13cb65f68732cc1302755a,0,0,0,0,0,0,0,0,0,0,0,0,14,148,169,180,143,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,283,190,0,0,0,0,0,0,0,0,0,0,0,0,0,57,440,483,2006,2028
87f80e1b75c17bba760e92b1f6969094,202,1035,34,37,7,19,143,259,11,0,0,0,0,6,0,0,5,87,591,470,543,308,117,127,61,19,282,803,574,31,0,11,5,15,448,704,547,0,26,8,51,16,16,0,0,0,0,0,0,0,0
f8b8173289056f3442317b4669562a60,25,386,363,395,9,6,45,244,25,5,0,0,0,11,3,2,20,78,241,310,561,756,747,599,444,33,32,90,172,312,7,7,20,1,21,357,460,97,32,18,82,31,240,41,0,0,0,0,0,0,5
ceb744c064664e839f2bc06c2a5caac8,0,0,33,150,559,502,220,14,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,63,0,0,0,0,424,1141,1306,889,1039,0,0,0,0,0,0,0,0,55
ae3938b2dcb171f848bb3e67363216e5,0,0,170,279,74,29,170,0,23,0,0,0,0,0,0,274,59,0,34,46,0,472,1506,490,313,81,0,0,58,86,0,0,0,0,11,176,435,514,358,181,358,457,32,0,0,0,0,0,0,22,28
962086dbd3d07813021248ccce3d384a,0,0,0,0,0,0,0,0,4,39,110,633,719,816,468,138,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,215,77,77,49,0,4,0,27,23,975,758,928,887
0c0c33018af18b5debbd3f488532e134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,9,1206,1382,679,0,0,0,0,0,0,0,0,0,4,690,1377,1030,125,38,0,85,60
f43964d1eb03e850cd3238f8e4bca9d7,0,0,160,616,221,303,697,0,0,105,84,0,46,0,59,0,31,0,0,0,39,0,95,78,206,31,0,0,0,33,268,0,0,0,0,0,24,605,745,464,250,67,0,34,51,176,234,245,116,0,0
638bea17d459a05ae7083c0d704fcf37,0,0,422,374,9,0,35,0,2,6,0,0,0,0,0,0,0,0,214,49,715,834,592,711,300,27,0,58,29,205,4,6,10,0,2,382,819,500,79,25,258,62,63,61,7,0,0,0,0,0,0
