ASV,ITT,IWS,STT,SWS,TTT,TWS
67a2d21cfe58b22c6534eb3fad87afef,0,0,2836,56,0,0
d5763d6cc9521afcdd6e6393c915c938,0,2725,0,0,38,96
3f48c674bfb96d735ee09bd32ac101da,145,0,1438,503,772,73
1845147963cd510356415ead4dd51a54,0,0,2104,668,0,175
3e247a5a9e227b9654eba44271d5f712,1144,142,22,0,846,227
075103e7b8b23c4a7fdd944bbc004661,331,137,52,678,342,1038
8ca37a647b5e1415dcb52bca76ed0219,31,0,751,170,1740,0
e3a8a247687cd6f43191a12f97789c77,216,1428,0,48,72,795
8a8895d160b2fda424ad5446e9bf8f4e,258,1438,160,75,543,130
053c09f43a8ca677723e10f2650f95aa,0,0,1302,1492,0,0
0e863d62783dd3f33b60de26d9831f7b,0,1969,0,0,0,516
1b5e69c9f4e8caf977af2374e4a2e5bd,951,15,0,312,1209,0
b28c95be84646c2007909459ae9477a0,0,0,56,326,266,1615
c7c02c07fb28c8730768bb76cafad3fe,200,0,0,186,2479,0
c4c51efaca3f7053013c48be2c94a1d9,0,2453,0,0,0,72
44ea12782614eea7f6fdd4f0ab6ed693,711,0,0,99,1786,0
09b3ae637e15bbfc9f967f2628d0c1e5,156,46,959,160,127,1108
268425f28d1096a853eba13a06210c18,430,306,447,62,652,426
814b28847f8d849f6d7186b23cc38625,200,2155,0,0,0,0
45a703c3d46ed9731722d03c72be9069,0,0,2631,55,0,0
5b2529faa44a3679b887ecd91b6b4149,0,0,2070,237,309,0
ce5ed1fc0d6e041af4467db8d7e28e80,0,1514,0,0,0,732
aef2747246f8ab1334fc44fad3e80aa0,0,0,0,0,2264,0
00580d9997f7a5390be073efeae55195,0,1825,0,43,0,426
06f97d45a7719be0cc5d22e5931cdef8,0,1758,0,0,0,527
40640cca2e35863b7fc44fd2d26716c2,0,0,468,2087,0,0
722ca2f7dd4cfcfd70770de0b04e21bf,870,0,13,997,575,0
dd76d38723fb75ca30293cd06f7af6e1,0,1683,0,0,0,592
4231dcb443dcb5f6d7e2e7ade6f9cae9,0,1169,0,98,0,957
efd1a993fb10d63e3f6cac25348ac628,0,1990,0,0,0,520
7b8687443cae68433ecc777195617018,776,109,0,40,1305,0
9ed56f4d10a5f87da1fc8ee22f2af397,0,0,2583,2,0,0
e416d0916760d2fc17b616e2ac3ad855,541,99,436,56,701,261
c04426d231ef78b7f31f0dc527bd6f92,0,1151,0,0,0,1122
2275a88212ace3b1333a1de857178d82,0,2047,0,0,0,307
78071b43244e5ebd909b446a937d7c77,0,0,2304,157,0,21
1d7313bc61f8e53cbef939d45e57aa54,639,375,7,111,887,100
f697f9477cfc69ab0b685d238dd163ae,0,0,2072,294,0,0
b017375c6db2afc9ae366bb32265bbed,198,1118,0,487,404,21
dc6e3d94ccee7aa8ab7cc8a40e3982ae,675,0,412,0,825,0
f94ba529eda83031cd1cabb2486fd4a1,0,1842,0,0,0,206
c5681f5257cffff7eb4489cb150e5913,259,0,91,0,1779,0
a49a4330179edf3bc0d66d3adb3a3d3f,360,557,502,0,705,0
e727f9243d4e18ef2f56b7429a4e95a5,1704,0,0,0,0,0
5cd1598991894dc8ea8ad97ad417480b,569,61,0,828,312,49
526e052bb36fd9e3fb25af4e780f4f07,0,1963,0,0,0,125
dab1160ee7a4ecf9945086ff09f99528,156,494,600,315,333,198
089b5a127fe67c6a1feb75c73c3641c3,380,577,0,76,606,337
ee50d3f2cad7d51acfcea78882ae8fb5,96,1389,0,116,120,406
f196d5068909d121f05aef0925ebbaea,239,885,0,0,755,58
ab735c82b34312971538df745c30a7ce,0,354,27,24,98,2110
37e6064d2ca6dc36bfd4a01b0ec3d4f2,0,0,2012,224,0,24
f45c0f3e44efd12754aaba5f646a3847,41,0,2124,5,0,0
08401097a43e1b97acfd98425ee7944c,826,5,20,0,784,0
2d8f4f79eff6be4d0c64f3fe2d97ca91,0,1192,0,0,0,677
aa106de9b1b1b0b9ddf6375fcb959cd5,0,931,0,48,0,1038
90924c7a744332419c33c0ccb0223cf7,261,427,22,71,1066,7
67d47b5fbce84d2de37cdb16a42cefc2,0,0,2019,290,0,0
673cf02dd4d116a7bd633c76d57cd414,430,299,0,0,1012,122
13100b775bbe83aba79401a3cdbf9966,369,0,0,0,1492,0
f6d4f12f5952bf76014386202c1f6574,39,0,0,0,1734,0
7c2811bbf4c76ca806ce4178a5ecb7fe,534,0,771,206,504,4
387c27b2c3cbbf539a806c7ac30b331d,0,0,1925,282,0,26
1b22d1148ead5f84afd7cad30c334c9e,168,68,183,285,1010,47
17dfe3a8456da339a03135c1870e9628,0,523,0,216,218,796
0a403db41b0def2fadaeb309717f3ef7,0,0,1913,171,0,0
55460cb417e801d59fa49cc15f564580,152,1359,0,0,250,0
7cbccee5c85ec80cdace4e802fab1306,33,1667,0,32,47,163
cf694c29e36051f1b5f87790228682df,16,1209,0,7,0,722
d5a1c10c46a0d737fc72a3fc23269650,773,0,3,32,989,0
352a76f847d45e1be9933f9023f07cd0,370,148,315,16,671,161
a8cc96f778c60c83950a902936678cd2,643,435,13,0,231,289
73f9a8f8258fab583e8238f839f148d6,0,0,0,550,0,1152
16ab9298f3d7f93f8ac8598c124cbd18,88,22,1333,208,285,128
21b1ffbecb9d1eb29e4a0db9cc25509b,0,173,0,0,0,1540
7b7595f9b76cf1c37a9b7943d54f75c2,6,0,1574,81,261,1
b60ede4a05e344a5390c5c8b918f13ab,734,109,0,0,625,14
a237bc166c4c17133f0e020907f1cf08,902,18,0,0,532,0
d8bf760ae7f95902e941ce9cd0db809e,127,1302,26,48,202,127
c137309f9c9b21b31d5cd36e1f652a4e,0,0,0,1763,0,0
c646a80af347de32c29505f396d84605,0,203,0,0,0,1889
a1dd87fcca6c2b6b29f7e62fbdf2d7b2,822,562,0,0,129,20
350e2ca44f40ce7ba455c4463730785e,63,517,202,155,397,349
a8d9d70cd3c7980f14f3040f601aca87,453,546,31,11,327,194
75cac7ae6fbcbb7817a14f6772f94924,337,137,101,163,958,53
4bfa4c164b976cbdfee185439660db4a,198,0,0,0,1488,0
7ab89bc6a2617ea3a1244e4a2d998848,658,203,0,0,278,429
af68bff4fb78b6d41f41d06240e77ed1,0,1797,0,0,0,0
f48887b6a8951d1541c8c31a9612fc32,98,0,53,21,1451,0
5408ec24ad3b5dff49f704c08c2ed359,314,581,6,9,347,280
50997d1e6c398e7abaceb666004a2456,47,187,1429,9,59,89
b0ba0078398b0dc582a4c1077c98d0d2,707,345,0,4,349,65
ad0ad80b693588bd4438f9dc5d8a40aa,88,0,497,93,144,1160
